54 12315	9570	7723	6613	5858	16127	8670	8415
55 8071	6361	15083	7829	9032	9556	6828	15449
56 6315	9246	8331	7085	16760	7381	8529	6626
57 7107	14960	8650	7386	6518	8032	14618	7818
58 8128	7743	7997	15357	6987	9647	9543	7088
59 15948	7463	8786	9890	7549	15955	8924	8811
60 9260	9253	14646	7899	7981	9184	9380	15727
61 7498	7257	8349	8701	15327	9443	9237	8457
62 8017	15201	8718	9136	7548	7143	17021	6729
63 8473	7030	6853	15882	4519	6969	6506	5905
64 12396	2416	3721	3319	3597	7565	3849	3039
65 3648	5342	8814	6846	5035	6336	8291	11613
66 6654	4808	6514	6632	12943	7327	6715	6841
67 6820	15281	7637	8644	7474	6842	16191	6288
68 6164	6543	5880	14679	6350	5174	6352	6438
69 12733	7268	5773	6390	5524	12118	5417	4577
70 6397	5986	10535	3622	5176	6161	6707	10016
71 4848	6981	5992	6497	9828	4634	7299	7326
72 6785	10456	4694	7149	7252	6576	12222	4993
73 6151	5012	5818	12121	2342	2937	1939	2679
74 5524	60	0	0	0	0	0	0
75 0	0	0	0	0	0	0	0
76 0	0	0	0	0	0	0	0
77 0	0	0	0	0	0	0	0
78 0	0	0	0	0	0	0	0
79 0	31	4306	31	0	0	31	10580
80 31	0	0	0	12409	0	0	0
81 0	12397	0	0	0	0	12497	0
82 0	0	0	11698	0	0	0	0
83 11476	0	0	0	0	11940	0	0
84 30	0	12249	0	0	30	0	15718
85 0	0	0	0	20749	0	0	0
86 0	22579	0	0	0	0	22208	0
87 0	0	0	20897	0	0	0	0
88 15722	0	0	0	0	14187	0	0
89 0	0	19955	0	0	0	0	23789
90 0	0	0	0	21385	0	1831	0
91 0	14554	0	4435	0	0	9801	0
92 5320	0	31	11319	31	6566	0	30
93 15736	30	9022	0	0	19098	0	10228
94 0	0	19708	0	9609	0	0	21140
95 0	9545	0	0	18861	0	8579	0
96 0	14718	0	7090	31	0	15271	0
97 9665	30	0	15289	0	14972	0	0
98 13930	0	15567	0	0	14848	0	13155
99 0	0	15324	0	13773	0	0	15126
100 0	15865	0	0	15966	0	15185	0
101 0	15242	0	13093	0	0	12356	0
102 13938	0	0	12425	0	14374	0	0
103 12093	0	14332	0	0	11261	0	12243
104 0	0	8719	0	9876	0	0	6358
105 0	9336	0	0	9286	0	7682	0
106 31	9468	31	8330	0	32	10674	32
107 9220	0	0	13967	0	10526	0	0
108 10759	0	12545	0	0	7827	0	11426
109 0	0	10353	0	8870	33	0	12543
110 0	11515	33	0	11532	0	13725	0
111 0	11196	0	11639	0	0	11372	0
112 11784	0	0	11346	0	12217	0	0
113 12121	0	12084	0	0	11296	0	10922
114 0	0	10855	0	9390	0	0	12018
115 0	8718	0	0	13167	0	9430	0
116 0	12090	0	10762	0	0	10764	0
117 10772	0	0	12854	0	11444	0	0
118 11040	0	11457	0	0	7030	0	7124
119 0	0	9663	0	7708	0	0	8695
120 0	8481	0	31	2625	31	2762	0
121 32	0	32	0	0	0	0	0
122 0	0	0	0	0	0	32	0
123 0	0	0	33	0	0	0	0
124 0	0	0	0	0	0	0	0
125 0	80	0	0	0	0	80	0
126 0	0	0	0	0	0	0	0
127 0	0	0	0	0	0	0	0
128 0	0	0	0	0	0	0	0
129 0	0	0	0	0	0	0	0
130 0	0	0	0	0	0	0	0
131 0	0	0	0	0	0	0	0
132 0	0	0	0	0	0	0	0
