80 449900	0	495277	0
81 376954	0	463110	0
82 517735	0	228485	0
83 416267	0	473984	0
84 343350	0	500641	0
85 399937	0	425476	70
86 501822	72	461862	0
87 269555	0	441672	72
88 700260	72	434822	0
89 440351	0	472201	0
90 237993	0	391930	0
91 534951	0	421450	0
92 298364	0	404279	0
93 458051	0	405402	0
94 556149	0	515167	0
95 379132	0	446482	0
96 583569	0	572400	0
97 420883	0	372927	0
98 629989	0	866265	0
99 478803	0	102333	0
100 364635	0	664619	0
101 544794	0	238957	0
102 215606	0	314520	0
103 312626	0	439657	0
104 459084	0	490067	0
105 471502	0	481367	0
106 507734	0	311466	0
107 462897	0	646178	0
108 497245	0	514249	0
109 426210	32	291731	33
110 355325	0	341871	0
111 361003	0	428058	0
112 507931	0	496713	0
113 427916	0	374752	0
114 317844	0	350446	0
115 586594	0	713707	0
116 544478	0	313553	0
117 343600	0	622804	0
118 904358	0	814857	0
119 477051	0	158923	0
120 129724	32	263362	32
121 464239	0	463022	0
122 256803	0	332166	0
123 432763	0	350187	0
124 357150	0	418144	0
125 372974	0	558441	0
126 537815	0	460113	0
127 363978	0	220386	0
128 423525	0	525090	0
129 410064	0	445375	0
130 412139	0	324576	32
131 295480	32	362591	0
132 510760	0	462082	0
133 598209	0	542774	0
134 513534	0	581617	0
135 361140	0	346957	0
136 552877	0	599577	0
137 482153	0	556284	0
138 573431	0	430304	0
139 509773	0	531625	0
140 420079	0	375075	0
141 374832	32	394151	32
142 362747	0	364141	0
143 382168	0	470122	0
144 563438	0	464983	0
145 484563	0	547623	0
146 414991	0	327962	0
147 378166	0	503059	0
148 575465	0	541189	0
149 480190	0	484920	0
150 382312	0	327604	0
151 428227	0	397709	0
152 253243	32	139928	32
153 330912	0	541628	0
154 362669	0	324362	0
155 578521	0	574491	0
156 301178	0	200682	0
157 582648	0	777881	0
158 341394	0	207111	0
159 422295	0	469726	0
160 479857	0	498810	0
161 499038	0	450517	0
162 412470	0	363245	0
163 263978	0	214546	32
164 264457	32	437451	0
165 471789	0	374778	0
166 461702	0	512426	0
167 399177	0	359119	0
168 458254	0	603735	0
169 572299	0	512038	0
170 276816	0	137037	0
171 362573	144	382714	574
172 367601	15932	438982	30982
173 331704	30603	258046	26033
174 218526	45823	135851	34686
175 153759	31	194040	11770
176 183376	59671	179263	78241
177 270522	92121	199903	73530
178 152990	98329	219230	160336
179 126872	124711	114619	61604
180 158427	72429	92987	112152
181 10601	186375	63	208456
182 62	166378	62	259554
183 63	350746	0	347801
184 0	264847	0	213453
185 0	203649	0	170969
186 0	202259	0	293710
187 32	278208	31	255270
188 0	174460	0	113962
189 0	209201	0	192678
190 0	248283	0	309136
191 0	260938	0	274023
192 0	208667	0	219899
193 0	342912	0	304231
194 0	261933	0	318214
195 0	312954	0	288526
196 0	243357	0	271612
197 0	229966	0	131772
198 0	170629	32	144113
199 33	164083	0	146041
200 0	97358	0	187009
201 0	247686	0	194005
202 0	173983	0	245278
203 0	270843	0	223173
204 0	190841	0	224853
205 0	299995	0	301655
206 0	322519	0	398142
207 0	310824	0	228085
208 0	185167	0	166338
209 0	208050	0	199062
210 32	237330	32	239421
211 0	221677	0	294594
212 0	330668	0	266304
213 0	319646	0	357968
214 0	238651	0	223312
215 0	301389	0	362271
216 0	422642	0	452291
217 0	284130	0	205330
218 0	258491	0	192510
219 0	248660	0	269282
220 0	177328	0	182251
221 0	177510	33	204181
222 33	219997	0	206707
223 0	231004	0	278315
224 0	270078	0	304314
225 0	330067	0	266035
226 0	247916	0	287228
227 0	376387	0	415146
228 0	366100	0	198003
229 0	176184	0	257014
230 0	224845	0	152053
231 0	194197	0	221113
232 0	133654	0	137252
233 32	169787	33	211201
234 0	181927	0	274393
235 0	340848	0	249149
236 0	324860	0	270532
237 0	228002	0	331526
238 0	244104	0	77923
239 0	189055	0	287632
240 0	260383	0	314054
241 0	385176	0	326474
242 0	163931	0	85420
243 0	71910	0	177954
244 0	191369	32	141994
245 32	212521	0	286094
246 0	309753	0	313307
247 0	322470	0	306558
248 0	267204	0	179526
249 0	206901	0	324574
250 0	359079	0	252793
251 0	272609	0	361969
252 0	314945	0	194043
253 0	156380	0	295847
254 0	219929	0	118094
255 0	209790	0	240565
256 32	154884	31	144783
257 0	263958	0	258040
258 0	194620	0	204967
259 0	196874	0	231047
260 0	394880	0	393166
261 0	261717	0	186201
262 0	177704	0	270701
263 0	255737	0	277446
264 0	270488	0	253548
265 0	371771	0	397808
266 0	264776	0	161698
267 0	159395	31	168633
268 32	104685	0	79232
269 0	165310	0	247564
270 0	243858	0	255559
271 0	256998	0	160676
272 32	129969	31	203496
273 0	264350	0	231245
274 0	319922	0	362936
275 0	277511	0	268301
276 0	296617	32	253089
277 31	227701	0	265968
278 0	216563	0	169408
279 0	178705	0	165198
280 0	179638	142	225850
281 388	210787	246	170472
282 213	189049	211	204399
283 0	237818	0	287598
284 143	258417	143	267728
285 0	145246	31	93958
286 32	260255	0	310176
287 0	248795	286	136920
288 574	88055	352	160125
289 142	219025	15418	148822
290 15303	192944	203	282158
291 235	191538	27491	156296
292 30492	260330	3128	315417
293 70	304742	0	349084
294 61393	322137	60993	221574
295 70	166727	70	196287
296 174	303657	176	369760
297 72	345492	69362	254853
298 69167	249927	430	316423
299 351	162883	282	127029
300 216	208315	66382	147516
301 118835	151818	51685	108005
302 21329	98249	31304	150854
