56 129653	0	141419	0	171857	0	214676	0
57 128073	0	110302	0	183481	0	122040	0
58 33578	0	63002	0	108183	0	130380	0
59 101014	0	110661	0	180572	0	137721	0
60 60976	0	81465	33	153099	33	226011	0
61 159278	0	130469	0	170764	0	154337	0
62 174581	0	146489	0	174138	0	236456	0
63 248061	0	283401	0	269149	0	198776	0
64 92522	0	72146	0	151813	0	163650	0
65 162295	144	138118	209	134970	15579	139312	21706
66 164426	30862	165141	24500	83343	28725	84877	36314
67 178301	7674	160155	0	81899	0	68394	46458
68 148918	48090	306982	1551	192055	0	84362	0
69 163945	70574	169877	70418	84453	63	0	39175
70 209	107154	209	143412	15385	160135	15471	87445
71 0	132364	24536	241400	30928	111806	6148	104599
72 6120	257565	36590	151506	30174	0	0	0
73 44386	63	45012	64	30567	0	80084	0
74 137907	0	133558	0	140763	0	122669	0
75 103363	142	172013	142	117453	71	123356	15491
76 184891	15480	110281	97	99169	30921	186568	30980
77 159799	64	113447	60494	152707	60698	103320	64
78 30934	29451	39845	68963	73759	39952	84482	0
79 44637	0	37179	51025	130161	92973	122056	41715
80 57056	208	46392	38869	58841	77496	62416	83855
81 15827	63167	0	33814	0	60389	64	97210
82 128	152742	64	143119	0	83165	117	142687
83 188	163531	72	158855	0	142273	0	92033
84 0	107444	33	117969	178	114932	144	172100
85 216	156213	15765	119229	15460	183219	64	127424
86 30558	47643	30377	100880	64	146201	0	97463
87 0	62957	36352	90626	37247	164435	0	207707
88 0	153935	54037	108726	53612	194983	0	232179
89 0	143418	82288	53348	126617	14224	108440	29583
90 113710	15418	125455	12291	106555	30880	95434	18365
91 115022	35444	56068	37010	85631	1533	124756	10853
92 63096	43034	20588	33042	5920	1511	49822	0
93 97218	33	87291	33	80899	53435	60201	66905
94 16052	90619	64	100477	64	143162	0	152919
95 0	87174	0	68924	0	79516	33	156717
96 33	169088	0	129575	0	172621	0	240618
97 0	194469	0	146095	0	72624	0	0
98 0	0	0	68000	0	68181	0	31028
99 0	91400	0	119658	0	113757	0	144777
100 0	152792	0	122053	0	142028	0	142342
101 0	116155	33	126660	33	162571	0	145833
102 0	102835	0	92796	0	109466	0	136090
103 0	150840	0	164579	0	159943	0	136657
104 0	111723	0	173271	0	199530	0	167924
105 0	232284	0	213462	0	142224	0	200403
106 0	192194	0	210465	0	251822	33	149726
107 33	158650	0	256315	0	155413	0	91507
108 0	192129	0	216834	0	207660	0	152481
109 0	97275	0	123794	0	151030	0	104371
110 0	98844	0	68281	0	43160	0	76202
111 0	97372	0	146842	0	188667	0	159910
112 0	149161	0	135913	33	61221	33	114803
113 0	134017	0	55884	0	129343	0	134150
114 0	65207	0	171052	0	153491	0	68634
115 0	145154	0	215515	0	112131	0	52624
116 0	198329	0	304491	0	204721	0	73573
117 0	141273	0	294719	0	333942	32	209963
118 33	73523	0	82727	0	221766	0	327804
119 0	226597	0	95881	0	72879	0	128228
120 0	129204	0	64502	0	63927	0	109122
121 0	182095	0	135562	0	111591	0	215876
122 0	273319	0	183318	0	113857	0	146337
123 0	139243	33	105968	33	83810	0	75656
124 0	86294	0	82199	0	98654	0	107603
125 0	86313	0	96603	0	110541	0	85259
126 0	72665	0	74739	0	56481	0	61657
127 0	67132	0	115683	0	103458	0	105495
128 0	219657	0	237837	0	161689	0	187194
129 0	186197	0	118856	0	139168	0	210226
130 0	189780	0	148311	0	215488	0	269534
131 0	239977	0	228174	0	229079	0	238511
132 0	242624	0	187096	0	94771	0	15244
133 0	66086	134	85190	15760	83502	46406	90161
134 30852	85378	37199	94546	72537	55608	40301	71045
135 45066	56193	40177	56387	48581	93752	90156	57962
136 61889	78453	105427	81279	151659	78925	119191	58603
137 178324	2528	165074	65	181387	64	223681	0
138 96699	33	191820	33	295914	0	143950	0
139 26088	0	93401	144	227029	144	270024	72
140 234386	72	152155	0	52896	0	43360	72
141 188233	72	261936	0	225246	0	217642	0
142 174030	0	200715	0	235461	0	173485	72
143 106917	72	39268	115	6428	113	43093	142
144 115529	144	177626	71	205778	71	193400	0
145 202334	0	234959	71	214621	71	202586	0
146 201852	0	194923	0	213114	0	208701	72
147 209218	72	193891	73	196624	72	205762	0
148 190305	0	204196	144	192101	144	171646	72
149 200289	214	178491	12428	158333	15517	159120	3105
150 173037	64	172141	64	162675	0	178910	15607
151 145275	15673	146018	72	159940	72	153704	0
152 165467	12541	187032	12476	175341	0	79756	0
153 4648	0	0	15354	60882	15201	116491	70
154 76165	213	20123	144	0	28258	46601	38972
155 179457	10853	198163	129	64857	129	117	55652
156 184126	55373	241518	10813	57432	69376	160604	58120
157 236566	10817	192638	47834	247428	36651	168298	71270
158 44498	71667	6193	80982	61	148660	63	181187
159 0	181125	0	181560	0	174232	117	124058
160 116	198214	0	241901	0	160557	0	105677
161 0	144362	0	236002	0	185582	0	41922
162 0	0	0	65	0	64	0	0
163 0	0	0					
